Cinsiyet;Yaþ;Toplu_tasima_araci;Toplu_tasima_haftalik;Egitim_durumu;Arac_durum;Aylik_gelir;Isýnma_turu;Arac_km_yillik;Arac_yakit_tipi;Yillik_ortalama_yakýt_TL;Bolge;Sehir;Hane_kisi;Yillik_ortalama_elk;"PV_sistem
";Yillik_ortalama_dogalgaz;"
Enerji_sinifi_kontorl";Tekstil_alisveris;Zararlý_ürün;Atik_donusum;PC_yenileme;;Birim_Dogalgaz;Birim_Elk_Ev;Birim_Benzin;Birim_Mazot;Birim_LPG;Birim_Arac_Sarj;Toplu_tasima_kisi;Toplu_tasima_km;Yillik_yakit_miktar;Yillik_lpg_miktar;Yillik_dogalgaz_miktar;Yillik_elk_miktar;Emisyon_elektrik;Emisyon_dogalgaz;Emisyon_benzin;Emisyon_mazot;Emisyon_lpg;Emisyon_toplutasima;Emisyon_kömür;Emisyon_Toplam
Erkek;25-34;5;0;5;1;50.000 TL-80.000 TL;Doðalgaz;7200;Benzin+LPG;42000;Ýç Anadolu;Ankara;4-6 kiþi;1200;Hayýr;16200;Evet;Hiç;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;459,02;1000,00;1982,86;0;0,00;3,89;1,116950662;0;810;0;0;815,01
Kadýn;45-54;5;0;5;1;80.000 TL+;Doðalgaz;7200;Benzin;30000;Ýç Anadolu;Ankara ;2-3 kiþi;6000;Hayýr;19200;Evet;Hiç;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;2350,06;0;0,00;4,61;1,595643803;0;0;0;0;6,21
Kadýn;45-54;1;3;3;1;17.000 TL-30.000 TL;Doðalgaz;1200;Benzin;9000;Ýç Anadolu;Ankara;Yalnýz yaþýyorum.;1200;Hayýr;2400;Evet;1-2 kez;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;196,7213115;0;293,76;800;0,37;0,58;0,478693141;0;0;0,00314925;0;1,43
Erkek;35-44;2;2;4;0;50.000 TL-80.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;Yalnýz yaþýyorum.;3600;Hayýr;8400;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1028,15;2400;1,11;2,02;0;0;0;0,00314925;0;3,13
Erkek;25-34;1;3;4;0;50.000 TL-80.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;10800;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1321,91;2400;1,11;2,60;0;0;0;0,00314925;0;3,70
Erkek;35-44;1;2;5;1;50.000 TL-80.000 TL;Doðalgaz;3600;Dizel;30000;Ýç Anadolu;Ankara;4-6 kiþi;3600;Hayýr;16200;Hayýr;Hiç;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;678,12;0;1982,86;2400;1,11;3,89;0;0,042711347;0;0,00314925;0;5,04
Kadýn;25-34;5;0;4;1;30.000 TL-50.000 TL;Elektrik;1200;Benzin+LPG;9000;Akdeniz;Mersin;2-3 kiþi;6000;Hayýr;0;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;98,36;214,29;0,00;0;0,00;0,00;0,23934657;0;173,5714286;0;0;173,81
Kadýn;35-44;5;0;4;1;80.000 TL+;Doðalgaz;1200;Dizel;42000;Marmara;Bursa;4-6 kiþi;6000;Hayýr;8400;Evet;5-6 kez;Evet;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;949,37;0;1028,15;0;0,00;2,02;0;0,059795886;0;0;0;2,08
Kadýn;25-34;1;1;2;1;50.000 TL-80.000 TL;Doðalgaz;7200;Benzin+LPG;42000;Ýç Anadolu;Ankara;2-3 kiþi;3600;Hayýr;10800;Hayýr;3-4 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;459,02;1000,00;1321,91;2400;1,11;2,60;1,116950662;0;810;0,00314925;0;814,82
Kadýn;35-44;5;1;4;1;80.000 TL+;Doðalgaz;7200;Elektrik;9000;Ýç Anadolu;Ankara;2-3 kiþi;8400;Hayýr;13200;Evet;1-2 kez;Hayýr;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1615,67;6600;3,04;3,17;0;0;0;0;0;6,21
