Cinsiyet;Yaþ;Toplu_tasima_araci;Toplu_tasima_haftalik;Egitim_durumu;Arac_durum;Aylik_gelir;Isýnma_turu;Arac_km_yillik;Arac_yakit_tipi;Yillik_ortalama_yakýt_TL;Bolge;Sehir;Hane_kisi;Yillik_ortalama_elk;"PV_sistem
";Yillik_ortalama_dogalgaz;"
Enerji_sinifi_kontorl";Tekstil_alisveris;Zararlý_ürün;Atik_donusum;PC_yenileme;;Birim_Dogalgaz;Birim_Elk_Ev;Birim_Benzin;Birim_Mazot;Birim_LPG;Birim_Arac_Sarj;Toplu_tasima_kisi;Toplu_tasima_km;Yillik_yakit_miktar;Yillik_lpg_miktar;Yillik_dogalgaz_miktar;Yillik_elk_miktar;Emisyon_elektrik;Emisyon_dogalgaz;Emisyon_benzin;Emisyon_mazot;Emisyon_lpg;Emisyon_toplutasima;Emisyon_kömür;Emisyon_Toplam
Kadýn;25-34;1;1;4;0;50.000 TL-80.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Bursa;2-3 kiþi;6000;Hayýr;8400;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1028,15;4000;1,84;2,02;0;0;0;0,00314925;0;3,87
Kadýn;45-54;5;0;3;1;80.000 TL+;Doðalgaz;7200;Benzin;30000;Marmara;Bursa;4-6 kiþi;3600;Hayýr;2400;Evet;3-4 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;293,76;0;0,00;0,58;1,595643803;0;0;0;0;2,17
Kadýn;25-34;1;1;5;0;50.000 TL-80.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;4-6 kiþi;6000;Hayýr;10800;Evet;3-4 kez;Evet;Evet;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1321,91;4000;1,84;2,60;0;0;0;0,00314925;0;4,44
Erkek;25-34;5;0;4;1;30.000 TL-50.000 TL;Doðalgaz;3600;Benzin;18000;Ege;Ýzmir;2-3 kiþi;6000;Hayýr;6000;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;734,39;0;0,00;1,44;0,957386282;0;0;0;0;2,40
Kadýn;55-64;5;0;3;1;50.000 TL-80.000 TL;Doðalgaz;7200;Benzin;30000;Karadeniz;Samsun ;Yalnýz yaþýyorum.;1200;Hayýr;8400;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;1028,15;0;0,00;2,02;1,595643803;0;0;0;0;3,61
Erkek;25-34;2;4;4;1;80.000 TL+;Doðalgaz;1200;Dizel;30000;Karadeniz;Samsun;4-6 kiþi;3600;Hayýr;10800;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;678,12;0;1321,91;2400;1,11;2,60;0;0,042711347;0;0,00314925;0;3,75
Kadýn;35-44;2;4;4;1;80.000 TL+;Doðalgaz;7200;Benzin;18000;Marmara;Ýstanbul;7-10 kiþi;8400;Hayýr;13200;Evet;3-4 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;1615,67;5600;2,58;3,17;0,957386282;0;0;0,00314925;0;6,71
Erkek;25-34;5;0;5;1;80.000 TL+;Doðalgaz;1200;Benzin+LPG;42000;Ýç Anadolu;Ankara;2-3 kiþi;6000;Hayýr;10800;Evet;1-2 kez;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;459,02;1000,00;1321,91;0;0,00;2,60;1,116950662;0;810;0;0;813,71
Kadýn;25-34;5;0;4;1;80.000 TL+;Doðalgaz;1200;Benzin+LPG;18000;Marmara;Ýstanbul;2-3 kiþi;6000;Hayýr;6000;Evet;7-10 kez;Evet;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;196,72;428,57;734,39;0;0,00;1,44;0,478693141;0;347,1428571;0;0;349,06
Erkek;45-54;3;1;2;1;17.000 TL-30.000 TL;Doðalgaz;1200;Dizel;9000;Marmara;Ýstanbul;2-3 kiþi;8400;Hayýr;13200;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;203,44;0;1615,67;5600;2,58;3,17;0;0,012813404;0;0,00314925;0;5,77
Kadýn;35-44;3;1;4;1;80.000 TL+;Doðalgaz;7200;Hibrit;30000;Marmara;Ýstanbul;2-3 kiþi;1200;Hayýr;16200;Evet;3-4 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,74;0;1982,86;800;0,37;3,89;1,595643803;0,041301639;0;0,00314925;0;5,90
Kadýn;45-54;3;4;2;0;30.000 TL-50.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;4-6 kiþi;6000;Hayýr;16200;Evet;Hiç;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1982,86;4000;1,84;3,89;0;0;0;0,00314925;0;5,74
Kadýn;35-44;1;5;4;1;80.000 TL+;Doðalgaz;1200;Benzin;30000;Marmara;Ýstanbul;4-6 kiþi;6000;Hayýr;2400;Evet;3-4 kez;Evet;Evet;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;293,76;4000;1,84;0,58;1,595643803;0;0;0,00314925;0;4,02
Erkek;35-44;2;0;5;0;30.000 TL-50.000 TL;Doðalgaz;3600;Benzin;9000;Ýç Anadolu;Ankara ;Yalnýz yaþýyorum.;3600;Hayýr;2400;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;196,7213115;0;293,76;2400;1,11;0,58;0,478693141;0;0;0,00314925;0;2,16
Erkek;35-44;2;2;4;1;80.000 TL+;Doðalgaz;7200;Hibrit;30000;Marmara;Ýstanbul;2-3 kiþi;1200;Hayýr;6000;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,74;0;734,39;800;0,37;1,44;1,595643803;0,041301639;0;0,00314925;0;3,45
Kadýn;45-54;1;0;2;0;30.000 TL-50.000 TL;Doðalgaz;1200;Benzin;3000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;10800;Evet;1-2 kez;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;65,57377049;0;1321,91;2400;1,11;2,60;0,15956438;0;0;0,00314925;0;3,86
Kadýn;18-24;1;3;4;0;30.000 TL-50.000 TL;Diðer (LPG, Odun, Kömür vb.);0;Þahsi aracým yok;0;Akdeniz;Mersin;4-6 kiþi;0;Evet;0;Evet;1-2 kez;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;0,00;0;0,00;0,00;0;0;0;0,00314925;0;0,00
Kadýn;35-44;1;5;4;0;80.000 TL+;Doðalgaz;3600;Dizel;9000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;6000;Evet;3-4 kez;Hayýr;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;203,44;0;734,39;2400;1,11;1,44;0;0,012813404;0;0,00314925;0;2,56
Kadýn;25-34;3;2;4;1;80.000 TL+;Doðalgaz;1200;Benzin;9000;Marmara;Ýstanbul;2-3 kiþi;1200;Hayýr;2400;Evet;5-6 kez;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;196,7213115;0;293,76;800;0,37;0,58;0,478693141;0;0;0,00314925;0;1,43
Kadýn;35-44;1;5;2;0;17.000 TL-30.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;4-6 kiþi;3600;Hayýr;10800;Evet;3-4 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1321,91;2400;1,11;2,60;0;0;0;0,00314925;0;3,70
Kadýn;25-34;3;1;4;1;50.000 TL-80.000 TL;Doðalgaz;3600;Benzin;9000;Ýç Anadolu;Ankara;2-3 kiþi;3600;Hayýr;10800;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;196,7213115;0;1321,91;2400;1,11;2,60;0,478693141;0;0;0,00314925;0;4,18
Kadýn;25-34;1;1;4;1;80.000 TL+;Doðalgaz;3600;Benzin+LPG;18000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;8400;Hayýr;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;196,72;428,57;1028,15;2400;1,11;2,02;0,478693141;0;347,1428571;0,00314925;0;350,75
Kadýn;25-34;5;0;4;1;17.000 TL-30.000 TL;Doðalgaz;7200;Benzin;9000;Ege;Ýzmir;Yalnýz yaþýyorum.;1200;Hayýr;2400;Evet;3-4 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;196,7213115;0;293,76;0;0,00;0,58;0,478693141;0;0;0;0;1,06
Erkek;45-54;5;0;2;1;17.000 TL-30.000 TL;Doðalgaz;1200;Dizel;30000;Ýç Anadolu;Ankara;4-6 kiþi;6000;Hayýr;10800;Evet;Hiç;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;678,12;0;1321,91;0;0,00;2,60;0;0,042711347;0;0;0;2,64
Kadýn;35-44;5;1;3;1;17.000 TL-30.000 TL;Doðalgaz;1200;Benzin+LPG;30000;Ýç Anadolu;Ankara;4-6 kiþi;8400;Hayýr;19200;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;327,87;714,29;2350,06;0;0,00;4,61;0,797821902;0;578,5714286;0;0;583,98
Kadýn;25-34;3;1;4;0;30.000 TL-50.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Bursa;Yalnýz yaþýyorum.;3600;Hayýr;2400;Hayýr;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;293,76;2400;1,11;0,58;0;0;0;0,00314925;0;1,69
Kadýn;35-44;5;0;4;1;80.000 TL+;Doðalgaz;1200;Dizel;42000;Marmara;Ýstanbul;2-3 kiþi;8400;Hayýr;16200;Evet;3-4 kez;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;949,37;0;1982,86;0;0,00;3,89;0;0,059795886;0;0;0;3,95
Kadýn;45-54;2;1;4;1;50.000 TL-80.000 TL;Doðalgaz;7200;Benzin;18000;Karadeniz;Samsun;2-3 kiþi;3600;Hayýr;10800;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;1321,91;2400;1,11;2,60;0,957386282;0;0;0,00314925;0;4,66
Kadýn;35-44;1;2;4;1;50.000 TL-80.000 TL;Doðalgaz;3600;Benzin;18000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;6000;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;734,39;2400;1,11;1,44;0,957386282;0;0;0,00314925;0;3,51
Kadýn;18-24;2;3;4;0;80.000 TL+;Doðalgaz;0;Þahsi aracým yok;0;Ýç Anadolu;Ankara;4-6 kiþi;3600;Hayýr;6000;Hayýr;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;734,39;2400;1,11;1,44;0;0;0;0,00314925;0;2,55
Kadýn;18-24;5;0;4;1;80.000 TL+;Doðalgaz;3600;Benzin;18000;Ýç Anadolu;Ankara;4-6 kiþi;8400;Evet;8400;Evet;3-4 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;1028,15;0;0,00;2,02;0,957386282;0;0;0;0;2,98
Erkek;25-34;5;0;5;1;30.000 TL-50.000 TL;Doðalgaz;1200;Benzin;30000;Marmara;Ýstanbul;2-3 kiþi;6000;Hayýr;10800;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;1321,91;0;0,00;2,60;1,595643803;0;0;0;0;4,19
Erkek;25-34;1;1;4;0;17.000 TL-30.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Ýç Anadolu;Ankara ;2-3 kiþi;3600;Hayýr;6000;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;734,39;2400;1,11;1,44;0;0;0;0,00314925;0;2,55
Erkek;25-34;5;0;4;1;80.000 TL+;Doðalgaz;1200;Benzin;42000;Ýç Anadolu;Ankara ;2-3 kiþi;6000;Hayýr;19200;Hayýr;1-2 kez;Evet;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;2350,06;0;0,00;4,61;2,233901325;0;0;0;0;6,85
Kadýn;25-34;1;3;4;1;50.000 TL-80.000 TL;Doðalgaz;1200;Benzin+LPG;18000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;10800;Evet;7-10 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;196,72;428,57;1321,91;2400;1,11;2,60;0,478693141;0;347,1428571;0,00314925;0;351,33
Erkek;25-34;1;1;4;0;50.000 TL-80.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Akdeniz;Burdur;Yalnýz yaþýyorum.;6000;Hayýr;6000;Hayýr;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;734,39;4000;1,84;1,44;0;0;0;0,00314925;0;3,29
Erkek;25-34;4;0;4;1;50.000 TL-80.000 TL;Doðalgaz;3600;Benzin;30000;Ýç Anadolu;Ankara ;2-3 kiþi;1200;Hayýr;8400;Evet;Hiç;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;1028,15;800;0,37;2,02;1,595643803;0;0;0,00314925;0;3,99
Erkek;35-44;5;2;4;1;30.000 TL-50.000 TL;Doðalgaz;1200;Dizel;18000;Güney Doðu Anadolu;Diyarbakýr ;4-6 kiþi;6000;Hayýr;8400;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;406,87;0;1028,15;0;0,00;2,02;0;0,025626808;0;0;0;2,04
Kadýn;45-54;5;1;5;1;80.000 TL+;Doðalgaz;3600;Dizel;30000;Ýç Anadolu;Ankara ;2-3 kiþi;3600;Hayýr;19200;Evet;1-2 kez;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;678,12;0;2350,06;0;0,00;4,61;0;0,042711347;0;0;0;4,66
Erkek;25-34;3;5;4;1;17.000 TL-30.000 TL;Doðalgaz;3600;Benzin+LPG;9000;Ege;Ýzmir;2-3 kiþi;3600;Hayýr;8400;Evet;3-4 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;98,36;214,29;1028,15;2400;1,11;2,02;0,23934657;0;173,5714286;0,00314925;0;176,94
Erkek;18-24;5;0;5;1;80.000 TL+;Doðalgaz;3600;Dizel;9000;Ýç Anadolu;Ankara ;2-3 kiþi;6000;Hayýr;10800;Hayýr;1-2 kez;Evet;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;203,44;0;1321,91;0;0,00;2,60;0;0,012813404;0;0;0;2,61
Erkek;35-44;5;0;4;1;30.000 TL-50.000 TL;Doðalgaz;7200;Dizel;18000;Akdeniz;Isparta;4-6 kiþi;3600;Hayýr;19200;Evet;Hiç;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;406,87;0;2350,06;0;0,00;4,61;0;0,025626808;0;0;0;4,64
Erkek;35-44;5;5;4;1;17.000 TL-30.000 TL;Doðalgaz;1200;Benzin;42000;Güney Doðu Anadolu;Þanlýurfa;2-3 kiþi;8400;Hayýr;19200;Evet;7-10 kez;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;2350,06;0;0,00;4,61;2,233901325;0;0;0;0;6,85
Erkek;25-34;5;0;3;1;30.000 TL-50.000 TL;Doðalgaz;7200;Benzin+LPG;18000;Ýç Anadolu;Ankara ;4-6 kiþi;6000;Hayýr;6000;Hayýr;1-2 kez;Hayýr;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;196,72;428,57;734,39;0;0,00;1,44;0,478693141;0;347,1428571;0;0;349,06
Erkek;45-54;1;3;5;1;80.000 TL+;Doðalgaz;1200;Dizel;18000;Ýç Anadolu;Ankara ;2-3 kiþi;3600;Hayýr;10800;Evet;Hiç;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;406,87;0;1321,91;2400;1,11;2,60;0;0,025626808;0;0,00314925;0;3,73
Erkek;35-44;5;0;4;1;30.000 TL-50.000 TL;Doðalgaz;1200;Dizel;18000;Güney Doðu Anadolu;Mardin;Yalnýz yaþýyorum.;3600;Hayýr;8400;Evet;1-2 kez;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;406,87;0;1028,15;0;0,00;2,02;0;0,025626808;0;0;0;2,04
Kadýn;45-54;1;0;2;1;50.000 TL-80.000 TL;Doðalgaz;1200;Dizel;9000;Karadeniz;Samsun;2-3 kiþi;3600;Hayýr;6000;Evet;1-2 kez;Evet;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;203,44;0;734,39;2400;1,11;1,44;0;0,012813404;0;0,00314925;0;2,56
Erkek;25-34;5;0;3;1;17.000 TL-30.000 TL;Doðalgaz;1200;Benzin;9000;Ýç Anadolu;Ankara ;Yalnýz yaþýyorum.;1200;Hayýr;2400;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;196,7213115;0;293,76;0;0,00;0,58;0,478693141;0;0;0;0;1,06
Erkek;25-34;5;0;4;1;30.000 TL-50.000 TL;Doðalgaz;1200;Dizel;3000;Karadeniz;Trabzon ;4-6 kiþi;1200;Hayýr;8400;Evet;1-2 kez;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;67,81;0;1028,15;0;0,00;2,02;0;0,004271135;0;0;0;2,02
Erkek;55-64;3;4;4;1;30.000 TL-50.000 TL;Doðalgaz;7200;Benzin+LPG;30000;Ýç Anadolu;Ankara ;4-6 kiþi;6000;Hayýr;10800;Evet;1-2 kez;Hayýr;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;327,87;714,29;1321,91;4000;1,84;2,60;0,797821902;0;578,5714286;0,00314925;0;583,81
Erkek;25-34;2;1;4;0;80.000 TL+;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Kocaeli ;2-3 kiþi;3600;Hayýr;10800;Evet;3-4 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1321,91;2400;1,11;2,60;0;0;0;0,00314925;0;3,70
Kadýn;25-34;5;0;4;1;80.000 TL+;Doðalgaz;1200;Benzin;42000;Marmara;Bursa;2-3 kiþi;1200;Hayýr;2400;Evet;1-2 kez;Evet;Evet;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;293,76;0;0,00;0,58;2,233901325;0;0;0;0;2,81
Erkek;45-54;5;0;5;1;50.000 TL-80.000 TL;Doðalgaz;7200;Benzin;30000;Ýç Anadolu;Ankara ;4-6 kiþi;6000;Hayýr;13200;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;1615,67;0;0,00;3,17;1,595643803;0;0;0;0;4,77
Erkek;45-54;5;0;2;1;80.000 TL+;Doðalgaz;1200;Dizel;42000;Marmara;Bursa;2-3 kiþi;6000;Hayýr;8400;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;949,37;0;1028,15;0;0,00;2,02;0;0,059795886;0;0;0;2,08
Erkek;35-44;5;0;4;1;30.000 TL-50.000 TL;Elektrik;1200;Dizel;42000;Akdeniz;Mersin;2-3 kiþi;8400;Evet;0;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;949,37;0;0,00;0;0,00;0,00;0;0,059795886;0;0;0;0,06
Kadýn;45-54;3;0;2;1;80.000 TL+;Doðalgaz;7200;Dizel;42000;Marmara;Bursa;2-3 kiþi;8400;Hayýr;19200;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;949,37;0;2350,06;5600;2,58;4,61;0;0,059795886;0;0,00314925;0;7,26
Kadýn;25-34;2;2;4;0;50.000 TL-80.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Bursa;Yalnýz yaþýyorum.;3600;Hayýr;2400;Hayýr;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;293,76;2400;1,11;0,58;0;0;0;0,00314925;0;1,69
Erkek;18-24;2;1;4;1;17.000 TL-30.000 TL;Diðer (LPG, Odun, Kömür vb.);3600;Dizel;30000;Doðu Anadolu;Erzurum;2-3 kiþi;3600;Evet;0;Evet;Hiç;Hayýr;Evet;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;678,12;0;0,00;2400;1,11;0,00;0;0,042711347;0;0,00314925;33,90596745;35,06
Kadýn;45-54;5;0;2;1;50.000 TL-80.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Bursa;2-3 kiþi;6000;Hayýr;8400;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1028,15;4000;1,84;2,02;0;0;0;0;0;3,86
Kadýn;25-34;1;3;4;1;30.000 TL-50.000 TL;Doðalgaz;1200;Benzin;18000;Marmara;Bursa;2-3 kiþi;3600;Hayýr;8400;Evet;5-6 kez;Hayýr;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;1028,15;2400;1,11;2,02;0,957386282;0;0;0,00314925;0;4,09
Kadýn;25-34;5;0;4;1;30.000 TL-50.000 TL;Doðalgaz;1200;Benzin;18000;Marmara;Bursa;4-6 kiþi;3600;Hayýr;10800;Evet;3-4 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;1321,91;0;0,00;2,60;0,957386282;0;0;0;0;3,55
Kadýn;18-24;5;1;2;1;80.000 TL+;Doðalgaz;7200;Dizel;30000;Marmara;Bursa;4-6 kiþi;8400;Hayýr;10800;Evet;7-10 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;678,12;0;1321,91;0;0,00;2,60;0;0,042711347;0;0;0;2,64
Kadýn;18-24;4;1;4;0;50.000 TL-80.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Bursa;2-3 kiþi;8400;Hayýr;16200;Evet;3-4 kez;Evet;Evet;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1982,86;5600;2,58;3,89;0;0;0;0,00314925;0;6,48
Kadýn;25-34;5;1;4;1;50.000 TL-80.000 TL;Doðalgaz;1200;Dizel;42000;Marmara;Bursa;2-3 kiþi;1200;Hayýr;10800;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;949,37;0;1321,91;0;0,00;2,60;0;0,059795886;0;0;0;2,65
Kadýn;25-34;5;0;4;1;30.000 TL-50.000 TL;Doðalgaz;3600;Benzin;42000;Marmara;Bursa;2-3 kiþi;6000;Hayýr;19200;Evet;5-6 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;2350,06;0;0,00;4,61;2,233901325;0;0;0;0;6,85
Kadýn;25-34;5;0;4;1;50.000 TL-80.000 TL;Doðalgaz;3600;Benzin;18000;Marmara;Ýstanbul;Yalnýz yaþýyorum.;3600;Hayýr;10800;Hayýr;3-4 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;1321,91;0;0,00;2,60;0,957386282;0;0;0;0;3,55
Kadýn;45-54;5;0;4;1;80.000 TL+;Doðalgaz;1200;Benzin;42000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;10800;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;1321,91;0;0,00;2,60;2,233901325;0;0;0;0;4,83
Erkek;45-54;3;4;4;1;80.000 TL+;Doðalgaz;1200;Dizel;9000;Ege;Ýzmir ;4-6 kiþi;3600;Hayýr;8400;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;203,44;0;1028,15;2400;1,11;2,02;0;0,012813404;0;0,00314925;0;3,14
Kadýn;45-54;2;0;5;1;80.000 TL+;Doðalgaz;3600;Benzin;9000;Ýç Anadolu;Ankara ;2-3 kiþi;3600;Hayýr;6000;Evet;1-2 kez;Evet;Evet;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;196,7213115;0;734,39;2400;1,11;1,44;0,478693141;0;0;0,00314925;0;3,03
Kadýn;25-34;3;3;4;1;80.000 TL+;Doðalgaz;7200;Benzin;18000;Ýç Anadolu;Ankara ;2-3 kiþi;3600;Hayýr;2400;Evet;5-6 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;293,76;2400;1,11;0,58;0,957386282;0;0;0,00314925;0;2,64
Kadýn;18-24;1;1;2;0;17.000 TL-30.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Bursa;4-6 kiþi;3600;Hayýr;8400;Evet;1-2 kez;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1028,15;2400;1,11;2,02;0;0;0;0,00314925;0;3,13
Erkek;25-34;5;0;4;1;80.000 TL+;Doðalgaz;1200;Dizel;42000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;8400;Hayýr;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;949,37;0;1028,15;0;0,00;2,02;0;0,059795886;0;0;0;2,08
Kadýn;25-34;5;0;3;1;80.000 TL+;Elektrik;1200;Elektrik;9000;Ýç Anadolu;Ankara ;4-6 kiþi;8400;Hayýr;0;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;0,00;6600;3,04;0,00;0;0;0;0;0;3,04
